Id,Geography,pop.2010,pop.2017,by.pop,Over25.Bach,below.poverty,median.house,mean.income,employed
0500000US19003,"Adams County, Iowa",4029,3686,1,357,418,84900,76251,5935
0500000US19159,"Ringgold County, Iowa",5131,5034,1,521,518,79600,77205,3116
0500000US19009,"Audubon County, Iowa",6119,5578,1,414,614,68800,79727,11189
0500000US19143,"Osceola County, Iowa",6462,6045,1,595,689,89500,73473,10108
0500000US19173,"Taylor County, Iowa",6317,6178,1,446,668,76100,74703,4783
0500000US19185,"Wayne County, Iowa",6403,6476,1,416,1001,74700,65938,20110
0500000US19151,"Pocahontas County, Iowa",7310,6846,1,648,898,73400,75420,107045
0500000US19093,"Ida County, Iowa",7089,6865,1,794,701,91900,84683,21459
0500000US19071,"Fremont County, Iowa",7441,6948,1,682,748,100200,83596,19934
0500000US19001,"Adair County, Iowa",7682,7054,1,598,661,93200,76949,16000
0500000US19177,"Van Buren County, Iowa",7570,7157,1,508,1014,82700,75588,15781
0500000US19195,"Worth County, Iowa",7598,7469,1,586,741,98000,74230,11840
0500000US19135,"Monroe County, Iowa",7970,7845,1,677,846,99100,74070,8043
0500000US19053,"Decatur County, Iowa",8457,7950,1,638,1403,76300,60582,16047
0500000US19117,"Lucas County, Iowa",8898,8534,1,778,828,84900,76995,10752
0500000US19133,"Monona County, Iowa",9243,8740,1,705,1284,84300,74567,14581
0500000US19051,"Davis County, Iowa",8753,8966,1,666,1196,109100,79651,35528
0500000US19073,"Greene County, Iowa",9336,8981,1,926,892,88900,78356,9536
0500000US19147,"Palo Alto County, Iowa",9421,9092,1,1232,618,98100,77713,9612
0500000US19089,"Howard County, Iowa",9566,9228,1,627,1051,107700,76843,7292
0500000US19039,"Clarke County, Iowa",9286,9374,1,822,1394,105000,70296,13057
0500000US19063,"Emmet County, Iowa",10302,9432,1,967,1212,85700,85543,14292
0500000US19091,"Humboldt County, Iowa",9815,9564,1,1032,1226,93900,79554,38188
0500000US19025,"Calhoun County, Iowa",9670,9746,1,885,1381,77800,75183,13177
0500000US19161,"Sac County, Iowa",10350,9817,1,1026,913,88100,79684,58139
0500000US19137,"Montgomery County, Iowa",10740,10137,1,867,1653,81800,65002,6457
0500000US19107,"Keokuk County, Iowa",10511,10153,1,955,1130,83700,76346,6670
0500000US19069,"Franklin County, Iowa",10680,10164,1,825,1586,87100,69139,13817
0500000US19189,"Winnebago County, Iowa",10866,10587,1,1168,998,94400,74831,31843
0500000US19131,"Mitchell County, Iowa",10776,10631,1,934,870,112300,79876,14132
0500000US19077,"Guthrie County, Iowa",10954,10670,1,1125,1063,112600,90127,76703
0500000US19081,"Hancock County, Iowa",11341,10771,1,1183,976,97600,80753,7971
0500000US19115,"Louisa County, Iowa",11387,11184,1,834,1222,104200,77850,16526
0500000US19035,"Cherokee County, Iowa",12072,11316,2,1199,1307,89200,84350,12781
0500000US19165,"Shelby County, Iowa",12167,11628,2,1321,1005,111700,85050,8250
0500000US19119,"Lyon County, Iowa",11581,11792,2,1217,566,125200,84885,5677
0500000US19037,"Chickasaw County, Iowa",12439,12005,2,964,1070,105100,79363,7260
0500000US19075,"Grundy County, Iowa",12453,12333,2,1712,697,129900,96238,9809
0500000US19007,"Appanoose County, Iowa",12887,12352,2,1156,2108,78000,71238,8572
0500000US19175,"Union County, Iowa",12534,12450,2,956,1682,94300,73099,12086
