from,to,weight,type
s01,s02,1,lup
s01,s10,1,lup
s02,s10,1,lup
s01,s03,1,rec
s01,s04,2,rec
s01,s05,5,rec
s03,s04,1,rec
s03,s05,1,rec
s04,s05,2,rec
s01,s04,1,mit
s01,s05,1,mit
s01,s06,1,mit
s01,s07,1,mit
s01,s08,5,mit
s01,s09,1,mit
s01,s10,1,mit
s01,s12,1,mit
s01,s13,1,mit
s01,s14,1,mit
s04,s05,1,mit
s04,s06,1,mit
s04,s07,1,mit
s04,s08,1,mit
s04,s09,1,mit
s04,s10,1,mit
s04,s12,1,mit
s04,s13,1,mit
s04,s14,1,mit
s05,s06,1,mit
s05,s07,1,mit
s05,s08,5,mit
s05,s09,1,mit
s05,s10,1,mit
s05,s12,1,mit
s05,s13,1,mit
s05,s14,1,mit
s06,s07,1,mit
s06,s08,1,mit
s06,s09,1,mit
s06,s10,1,mit
s06,s12,1,mit
s06,s13,1,mit
s06,s14,1,mit
s07,s08,1,mit
s07,s09,1,mit
s07,s10,1,mit
s07,s12,1,mit
s07,s13,1,mit
s07,s14,1,mit
s08,s09,1,mit
s08,s10,1,mit
s08,s12,1,mit
s08,s13,1,mit
s08,s14,1,mit
s09,s10,1,mit
s09,s12,1,mit
s09,s13,1,mit
s09,s14,1,mit
s10,s12,1,mit
s10,s13,1,mit
s10,s14,1,mit
s12,s13,1,mit
s12,s14,1,mit
s13,s14,1,mit
s15,s16,1,res
s15,s17,1,res
s15,s18,1,res
s15,s19,1,res
s15,s06,1,res
s15,s07,1,res
s15,s01,1,res
s15,s14,1,res
s06,s16,1,res
s06,s17,1,res
s06,s18,1,res
s06,s19,1,res
s06,s15,1,res
s06,s07,1,res
s06,s01,1,res
s06,s14,1,res
s07,s16,1,res
s07,s17,1,res
s07,s18,1,res
s07,s19,1,res
s07,s06,1,res
s07,s15,1,res
s07,s01,1,res
s07,s14,1,res
s01,s16,1,res
s01,s17,1,res
s01,s18,1,res
s01,s19,1,res
s01,s06,1,res
s01,s15,1,res
s01,s07,1,res
s01,s14,1,res
s14,s16,1,res
s14,s17,1,res
s14,s18,1,res
s14,s19,1,res
s14,s06,1,res
s14,s15,1,res
s14,s07,1,res
s14,s01,1,res
s16,s15,1,res
s16,s17,1,res
s16,s18,1,res
s16,s19,1,res
s16,s06,1,res
s16,s07,1,res
s16,s01,1,res
s16,s14,1,res
s17,s15,1,res
s17,s16,1,res
s17,s18,1,res
s17,s19,1,res
s17,s06,1,res
s17,s07,1,res
s17,s01,1,res
s17,s14,1,res
s18,s15,1,res
s18,s16,1,res
s18,s17,1,res
s18,s19,1,res
s18,s06,1,res
s18,s07,1,res
s18,s01,1,res
s18,s14,1,res
s19,s15,1,res
s19,s16,1,res
s19,s17,1,res
s19,s18,1,res
s19,s06,1,res
s19,s07,1,res
s19,s01,1,res
s19,s14,1,res
